sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
93,93,24.402894658345392,18.13548367922437,28.81608519212723,6.506997585296631,6.816009521484375,6.492199897766113,gan,gan,cnn,candidateUV,0
94,94,24.570031527820365,20.006869187749356,29.992838020447362,5.102908611297607,6.517361164093018,5.981175422668457,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,31.388695402997786,5.015480041503906,6.677723407745361,5.959494590759277,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,33.248353461822525,5.121858596801758,7.258078575134277,5.759376049041748,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,33.89104224982813,5.011539936065674,7.223494529724121,5.689801216125488,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,34.76998081313519,4.942448139190674,8.764951705932617,5.611465930938721,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,34.88281330473354,5.342334747314453,7.760592460632324,6.600381851196289,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,34.43448331661251,5.912055015563965,7.617006778717041,6.192474365234375,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,33.59583063271974,5.357294082641602,7.0666680335998535,6.394382953643799,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,32.59640512448334,5.164434909820557,8.231893539428711,6.69896125793457,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,33.165192857048964,5.102769374847412,6.314839839935303,6.168907642364502,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,32.49023648753931,4.829194068908691,7.393864154815674,5.971243381500244,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,32.340477903935174,5.33697509765625,6.823482513427734,5.743284702301025,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,32.50755392451792,5.767349720001221,6.75129508972168,6.634140968322754,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,32.23536729960301,5.574344635009766,7.6041154861450195,6.060892581939697,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,31.918955449356336,5.6898322105407715,7.595790386199951,6.429090976715088,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,31.51448529542381,5.088190078735352,7.198193550109863,5.764332294464111,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,31.96735178284402,5.806641101837158,6.568319320678711,6.376753807067871,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,30.887678748900733,5.513612270355225,8.167459487915039,6.114636421203613,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,30.492973376270214,5.637857913970947,6.682409286499023,6.734987258911133,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,29.087098903351997,5.502909183502197,6.949485778808594,6.201700210571289,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,27.748484292958768,5.123978614807129,5.899235248565674,6.208505630493164,gan,gan,cnn,cnn,0
